arc_high_arousal_ratio,arc_k_mem_block,arc_max_arousal,arc_mean_arousal,arc_mean_risk,arc_mean_risk_memory,arc_mean_u_mem,arc_mean_uncertainty,arc_mean_valence,arc_min_u_mem,arc_shift_active_ratio,arc_shift_mem_gate_floor,calib_score,condition,env,final_reward_mean,final_reward_std,replay_last_shift_active,replay_last_u_mem,replay_n_added,replay_n_skipped,replay_recent_sample_calls,replay_recent_sample_ratio,replay_sample_calls,replay_skipped_ratio,replay_u_mem_threshold,seed,success_rate,timesteps
0.12996231254605103,1.0,0.5630299041573605,0.5207360936427259,0.0499553905022918,0.0499553905022918,0.9500446094977083,0.1204215546853076,0.9900915030434487,0.8748808084402233,0.04776119402985075,0.0,142.20684210526315,arc_plasticity,nonstationary,141.95,20.638495584707716,0.0,0.9573434827334614,20000.0,0.0,122.0,0.02568421052631579,4750.0,0.0,0.2,0,0.05,20000
0.12996231254605103,1.0,0.5630299041573605,0.5207360936427259,0.0499553905022918,0.0499553905022918,0.9500446094977083,0.1204215546853076,0.9900915030434487,0.8748808084402233,0.04776119402985075,0.0,137.00684210526316,arc_plasticity,nonstationary,136.75,14.869011399551754,0.0,0.9573434827334614,20000.0,0.0,122.0,0.02568421052631579,4750.0,0.0,0.5,0,0.025,20000
0.12996231254605103,1.0,0.5630299041573605,0.5207360936427259,0.0499553905022918,0.0499553905022918,0.9500446094977083,0.1204215546853076,0.9900915030434487,0.8748808084402233,0.04776119402985075,0.2,138.95684210526315,arc_plasticity,nonstationary,138.7,25.62440243205683,0.0,0.9573434827334614,20000.0,0.0,122.0,0.02568421052631579,4750.0,0.0,0.2,0,0.0,20000
0.12996231254605103,1.0,0.5630299041573605,0.5207360936427259,0.0499553905022918,0.0499553905022918,0.9500446094977083,0.1204215546853076,0.9900915030434487,0.8748808084402233,0.04776119402985075,0.2,139.30684210526317,arc_plasticity,nonstationary,139.05,19.2027992751057,0.0,0.9573434827334614,20000.0,0.0,122.0,0.02568421052631579,4750.0,0.0,0.5,0,0.05,20000
0.11793411738105186,3.0,0.5641489631586335,0.5210090947211053,0.050604377119270114,0.050604377119270114,0.8482779234510402,0.12209988054477594,0.9900925958998759,0.6154342262652743,0.047619047619047616,0.0,239.95796183225232,arc_plasticity,nonstationary,234.95,55.051316968806475,0.0,0.88,20000.0,0.0,186.0,0.039381748888418375,4723.0,0.0,0.2,0,0.8,20000
0.11390001738111154,3.0,0.5632759216288103,0.5210268906497207,0.050594936545528074,0.050594936545528074,0.8482822039206572,0.1222248627340497,0.9900521582997979,0.6144717179476569,0.04722222222222222,0.0,143.348831122631,arc_plasticity,nonstationary,138.25,9.390819985496474,1.0,0.4282460569686597,20000.0,0.0,217.0,0.04606240713224369,4711.0,0.0,0.5,0,0.0,20000
0.11979684409322006,3.0,0.5651914871841613,0.5223429247884908,0.05095319099589953,0.05095319099589953,0.8472719237002736,0.12283143631205881,0.9901922440956257,0.6051699890828454,0.04945054945054945,0.2,132.92471718001414,arc_plasticity,nonstationary,127.6,14.523773614319387,0.0,0.88,20000.0,0.0,214.0,0.04539669070852779,4714.0,0.0,0.2,0,0.0,20000
0.11465536969082321,3.0,0.5642407313083158,0.5215058035911315,0.05089480753896533,0.05089480753896533,0.8474305678076917,0.12278915633464521,0.9901553503943101,0.6101712671005142,0.049586776859504134,0.2,271.87403464901774,arc_plasticity,nonstationary,266.65,54.442882914114676,0.0,0.88,20000.0,0.0,225.0,0.04783163265306122,4704.0,0.0,0.5,0,0.95,20000
0.1230551227218872,5.0,0.5616848391572647,0.5179290981075599,0.04980517670588843,0.04980517670588843,0.7525359072138564,0.12008929175132552,0.9895610414102453,0.5121378777858772,0.047058823529411764,0.0,138.74559743844927,arc_plasticity,nonstationary,131.05,6.55343421421166,0.0,0.7999999999999999,20000.0,0.0,235.0,0.049904438309619874,4709.0,0.0,0.2,0,0.0,20000
0.11853663848137361,5.0,0.5644426429644576,0.5201672721707802,0.050235331288501786,0.050235331288501786,0.750808558335433,0.12126821074240711,0.9898806299499932,0.5070331118103558,0.04896282135418153,0.0,253.20395943878364,arc_plasticity,nonstationary,245.45,65.18548534758332,0.0,0.7999999999999999,20000.0,0.0,202.0,0.04297872340425532,4700.0,0.0,0.5,0,0.725,20000
0.11785629428317196,5.0,0.5628305219881661,0.5190761836306275,0.0499514093133769,0.0499514093133769,0.7572994834805105,0.12055856022040401,0.9897170219395842,0.5278134603582667,0.047530598437788306,0.2,210.7109453246596,arc_plasticity,nonstationary,203.45,43.44015999049727,0.0,0.7999999999999999,20000.0,0.0,215.0,0.04562818336162988,4712.0,0.0,0.2,0,0.6,20000
0.1257467920272853,5.0,0.564822128842739,0.5205574526599188,0.05033279129970099,0.05033279129970099,0.7556290221008893,0.12124392470912775,0.990003634342699,0.511110007944592,0.04956268221574344,0.2,175.97321768055986,arc_plasticity,nonstationary,168.3,64.1818510172463,0.0,0.7999999999999999,20000.0,0.0,212.0,0.04509678791746437,4701.0,0.0,0.5,0,0.175,20000
0.09883636217025699,1.0,0.5324854539323336,0.49495756885950093,0.04896912543406259,0.04896912543406259,0.9510308745659376,0.11918642261255584,0.9838340415322773,0.9082710670192369,0.04773869346733668,0.0,220.41631578947369,arc_plasticity,forgetting,220.05,63.25462433688149,0.0,0.96,20000.0,0.0,174.0,0.03663157894736842,4750.0,0.0,0.2,0,0.55,20000
0.09883636217025699,1.0,0.5324854539323336,0.49495756885950093,0.04896912543406259,0.04896912543406259,0.9510308745659376,0.11918642261255584,0.9838340415322773,0.9082710670192369,0.04773869346733668,0.0,201.86631578947367,arc_plasticity,forgetting,201.5,29.685855217594792,0.0,0.96,20000.0,0.0,174.0,0.03663157894736842,4750.0,0.0,0.5,0,0.725,20000
0.09883636217025699,1.0,0.5324854539323336,0.49495756885950093,0.04896912543406259,0.04896912543406259,0.9510308745659376,0.11918642261255584,0.9838340415322773,0.9082710670192369,0.04773869346733668,0.2,231.71631578947367,arc_plasticity,forgetting,231.35,69.04076694243771,0.0,0.96,20000.0,0.0,174.0,0.03663157894736842,4750.0,0.0,0.2,0,0.6,20000
0.09883636217025699,1.0,0.5324854539323336,0.49495756885950093,0.04896912543406259,0.04896912543406259,0.9510308745659376,0.11918642261255584,0.9838340415322773,0.9082710670192369,0.04773869346733668,0.2,248.31631578947366,arc_plasticity,forgetting,247.95,76.2800596486395,0.0,0.96,20000.0,0.0,174.0,0.03663157894736842,4750.0,0.0,0.5,0,0.475,20000
0.10588481093932973,3.0,0.5431502131451658,0.5032686386137822,0.04915657623653583,0.04915657623653583,0.8525584747626187,0.11908837658535573,0.9863799871584623,0.6871896271572219,0.047619047619047616,0.0,167.76587706130175,arc_plasticity,forgetting,164.5,20.696618081222837,0.0,0.88,20000.0,0.0,211.0,0.044561774023231256,4735.0,0.0,0.2,0,0.175,20000
0.11043957347861039,3.0,0.5447640273768107,0.5047824539121105,0.04953878485396805,0.04953878485396805,0.8514167201341647,0.1198851363221686,0.9864941507786393,0.6772562693672896,0.049723756906077346,0.0,153.91610121915815,arc_plasticity,forgetting,150.4,18.770721882761997,0.0,0.88,20000.0,0.0,211.0,0.0447507953340403,4715.0,0.0,0.5,0,0.0,20000
0.10602758554959765,3.0,0.5428837901389706,0.5031079284962975,0.04916750585204822,0.04916750585204822,0.8525290828047652,0.11910756342641425,0.9863503222627911,0.6897364998057272,0.047752808988764044,0.2,163.4022052450891,arc_plasticity,forgetting,160.2,26.850698314941457,0.0,0.88,20000.0,0.0,211.0,0.044561774023231256,4735.0,0.0,0.2,0,0.225,20000
0.11002441807389275,3.0,0.5447350653532309,0.5048912143576909,0.049532457423539074,0.049532457423539074,0.8514591479735985,0.11987462185308626,0.9864964523451141,0.6791461614817832,0.049586776859504134,0.2,162.8070208940849,arc_plasticity,forgetting,159.4,26.69906365399356,0.0,0.88,20000.0,0.0,182.0,0.03856749311294766,4719.0,0.0,0.5,0,0.1,20000
0.11831560839391951,5.0,0.545621030411323,0.5050308314448748,0.04934086145955676,0.04934086145955676,0.7559779144329327,0.11946792467868075,0.9861454801955161,0.560018749940121,0.046384686161769016,0.0,195.8185788705446,arc_plasticity,forgetting,189.4,17.658992043715294,0.0,0.7999999999999999,20000.0,0.0,198.0,0.0419047619047619,4725.0,0.0,0.2,0,0.175,20000
0.11785244286343668,5.0,0.5451851363782368,0.5057593336733149,0.048880773899345815,0.048880773899345815,0.7576998515559602,0.11844599096329057,0.9863948705089975,0.5564000280962277,0.04625327783901297,0.0,220.22960968720471,arc_plasticity,forgetting,213.75,22.449665921790462,0.0,0.7999999999999999,20000.0,0.0,183.0,0.03896103896103896,4697.0,0.0,0.5,0,0.275,20000
0.1013788251861347,5.0,0.5446127414153678,0.5045720410661058,0.0490941698798679,0.0490941698798679,0.7607307861062709,0.11913527139599565,0.9867447158636158,0.5734623276678156,0.04783894261918505,0.2,200.7889286838338,arc_plasticity,forgetting,194.7,47.73583559549367,0.0,0.7999999999999999,20000.0,0.0,201.0,0.04254868755292125,4724.0,0.0,0.2,0,0.475,20000
0.10234623227252315,5.0,0.544627996404149,0.5040467187340444,0.0489012475570575,0.0489012475570575,0.7613563016880522,0.1187261011231297,0.9867016770058481,0.5696174731913681,0.0464707106313187,0.2,196.35284548314095,arc_plasticity,forgetting,190.2,43.80707705382773,1.0,0.2,20000.0,0.0,185.0,0.03932823129251701,4704.0,0.0,0.5,0,0.525,20000
